iter	Logloss
0	0.6851994083
1	0.6790904095
2	0.6736560752
3	0.6695011594
4	0.6661510266
5	0.6635326854
6	0.6612856416
7	0.6591664056
8	0.6574999094
9	0.6563297298
10	0.655117014
11	0.654216139
12	0.6534113894
13	0.6528756235
14	0.6523115563
15	0.6518868156
16	0.6515877673
17	0.6512560987
18	0.6510007361
19	0.6507751252
20	0.6505015601
21	0.6503438504
22	0.6501976714
23	0.649986663
24	0.6499096998
25	0.6498226136
26	0.6497522428
27	0.6495885132
28	0.6495278958
29	0.6494555557
30	0.6493726533
31	0.649321382
32	0.6492857313
33	0.6492501667
34	0.6492152901
35	0.649136504
36	0.6491100596
37	0.6490422274
38	0.6489990475
39	0.648954821
40	0.648933969
41	0.6488952056
42	0.6488687242
43	0.6488283099
44	0.6487987425
45	0.6487819144
46	0.6487569112
47	0.6487367954
48	0.6487120833
49	0.6486867501
50	0.6486652128
51	0.6486470019
52	0.6486159582
53	0.6486022231
54	0.648576082
55	0.6485517225
56	0.6485377614
57	0.6484906583
58	0.6484755497
59	0.6484639278
60	0.6484529396
61	0.6484336042
62	0.6484181667
63	0.6483962931
64	0.6483941119
65	0.6483707047
66	0.6483507534
67	0.6483381554
68	0.6483204004
69	0.6483023849
70	0.6482739273
71	0.6482432569
72	0.6482279774
73	0.6482093648
74	0.6481966315
75	0.6481890935
76	0.6481737388
77	0.6481596607
78	0.6481451456
79	0.6481312716
80	0.6481201039
81	0.6481058869
82	0.6480842922
83	0.6480704802
84	0.6480568284
85	0.6480417309
86	0.6480377321
87	0.6480369538
88	0.6480296241
89	0.6479972031
90	0.6479786663
91	0.6479592661
92	0.6479447813
93	0.6479249737
94	0.6479129849
95	0.6479074569
96	0.6478995101
97	0.6478898167
98	0.6478742544
99	0.6478649892
100	0.6478462276
101	0.6478341672
102	0.6478144032
103	0.647797628
104	0.6477716991
105	0.6477565044
106	0.6477461028
107	0.6477281955
108	0.6477085892
109	0.6476882741
110	0.6476882362
111	0.6476721245
112	0.6476545546
113	0.6476503949
114	0.6476371571
115	0.6476206149
116	0.6476092471
117	0.6475915969
118	0.647576634
119	0.6475618142
120	0.6475505373
121	0.647525746
122	0.6475119027
123	0.6475015709
124	0.6474826144
125	0.6474603956
126	0.6474370852
127	0.6474243144
128	0.6474070236
129	0.647389756
130	0.6473696362
131	0.6473508771
132	0.6473287955
133	0.6473112058
134	0.6473004929
135	0.6472807233
136	0.6472613439
137	0.6472437396
138	0.6472242696
139	0.6472108233
140	0.6471871451
141	0.6471711266
142	0.6471524974
143	0.6471270036
144	0.6470963657
145	0.6470801359
146	0.6470623808
147	0.6470421379
148	0.647026187
149	0.6470108358
150	0.6469814827
151	0.6469699264
152	0.6469485891
153	0.646934354
154	0.6469145156
155	0.646895622
156	0.646870318
157	0.6468509258
158	0.64683544
159	0.646806906
160	0.6467895011
161	0.6467625266
162	0.6467470294
163	0.646727424
164	0.6467103999
165	0.6466856708
166	0.6466658891
167	0.6466480351
168	0.6466163657
169	0.6465954824
170	0.6465793494
171	0.646558863
172	0.6465433379
173	0.6465199265
174	0.6464954821
175	0.6464766097
176	0.646453604
177	0.6464380323
178	0.6464247042
179	0.6464060764
180	0.6463876614
181	0.6463761479
182	0.6463521785
183	0.6463332737
184	0.6463158916
185	0.6462946779
186	0.6462700283
187	0.646248585
188	0.6462263174
189	0.6462024072
190	0.6461828149
191	0.6461544283
192	0.6461388809
193	0.6461175307
194	0.6460924772
195	0.6460773057
196	0.6460521189
197	0.6460423569
198	0.6460201556
199	0.6459871427
