iter	Passed	Remaining
0	177	35317
1	225	22289
2	263	17334
3	325	15970
4	454	17724
5	555	17945
6	618	17060
7	688	16534
8	747	15873
9	815	15492
10	887	15242
11	940	14734
12	1009	14521
13	1049	13945
14	1085	13391
15	1124	12931
16	1166	12551
17	1203	12171
18	1245	11865
19	1279	11512
20	1316	11221
21	1355	10968
22	1398	10759
23	1437	10538
24	1484	10393
25	1521	10182
26	1556	9972
27	1599	9824
28	1636	9650
29	1676	9499
30	1707	9309
31	1739	9134
32	1779	9007
33	1818	8879
34	1851	8730
35	1892	8621
36	1932	8515
37	1969	8394
38	2009	8295
39	2048	8192
40	2092	8116
41	2130	8014
42	2173	7934
43	2215	7854
44	2257	7775
45	2300	7700
46	2345	7636
47	2392	7575
48	2434	7503
49	2480	7442
50	2529	7388
51	2580	7343
52	2633	7302
53	2669	7216
54	2712	7151
55	2754	7083
56	2793	7008
57	2843	6962
58	2899	6929
59	2954	6893
60	2992	6819
61	3044	6775
62	3087	6714
63	3138	6668
64	3174	6592
65	3213	6524
66	3261	6473
67	3304	6414
68	3350	6360
69	3391	6297
70	3430	6232
71	3471	6172
72	3508	6104
73	3546	6038
74	3583	5971
75	3621	5908
76	3660	5848
77	3696	5780
78	3733	5718
79	3777	5665
80	3819	5611
81	3862	5557
82	3901	5499
83	3940	5442
84	3985	5391
85	4022	5332
86	4056	5269
87	4083	5197
88	4130	5151
89	4180	5108
90	4222	5057
91	4270	5013
92	4311	4960
93	4351	4907
94	4389	4851
95	4431	4800
96	4470	4746
97	4507	4691
98	4549	4640
99	4591	4591
100	4632	4541
101	4674	4491
102	4714	4439
103	4751	4386
104	4790	4334
105	4832	4285
106	4870	4233
107	4904	4177
108	4942	4126
109	4987	4080
110	5016	4021
111	5056	3972
112	5097	3924
113	5140	3877
114	5178	3827
115	5215	3777
116	5259	3731
117	5298	3681
118	5335	3631
119	5373	3582
120	5418	3537
121	5457	3489
122	5495	3440
123	5528	3388
124	5567	3340
125	5606	3292
126	5646	3245
127	5686	3198
128	5725	3151
129	5765	3104
130	5803	3056
131	5843	3010
132	5884	2964
133	5929	2920
134	5970	2874
135	6015	2830
136	6052	2783
137	6083	2733
138	6126	2688
139	6170	2644
140	6216	2601
141	6256	2555
142	6296	2509
143	6336	2464
144	6379	2419
145	6423	2375
146	6466	2331
147	6506	2286
148	6555	2243
149	6596	2198
150	6634	2152
151	6673	2107
152	6716	2063
153	6756	2018
154	6795	1972
155	6833	1927
156	6879	1884
157	6918	1839
158	6957	1793
159	6996	1749
160	7031	1703
161	7068	1657
162	7104	1612
163	7141	1567
164	7185	1524
165	7225	1479
166	7268	1436
167	7310	1392
168	7358	1349
169	7403	1306
170	7447	1262
171	7490	1219
172	7530	1175
173	7570	1131
174	7610	1087
175	7649	1043
176	7689	999
177	7730	955
178	7771	911
179	7811	867
180	7854	824
181	7893	780
182	7933	736
183	7977	693
184	8018	650
185	8059	606
186	8101	563
187	8145	519
188	8187	476
189	8230	433
190	8275	389
191	8317	346
192	8359	303
193	8403	259
194	8444	216
195	8487	173
196	8534	129
197	8575	86
198	8612	43
199	8650	0
