PLAYER_NAME,FGM,FGA,FG_PCT,xFG_PCT,DIFF
Nikola Jokic,821,1402,58.6,49.9,8.7
Daniel Gafford,348,480,72.5,64.5,8.0
T.J. McConnell,330,590,55.9,48.0,7.9
Kevin Durant,751,1436,52.3,45.3,7.0
Kawhi Leonard,610,1161,52.5,46.3,6.2
Garrison Mathews,103,226,45.6,39.5,6.1
Trayce Jackson-Davis,233,331,70.4,64.3,6.1
Jalen Smith,234,394,59.4,53.3,6.1
Ivica Zubac,337,519,64.9,59.2,5.7
Khris Middleton,317,643,49.3,43.6,5.7
Dereck Lively II,221,296,74.7,69.1,5.6
Luka Doncic,803,1643,48.9,43.3,5.6
Al Horford,214,419,51.1,45.4,5.6
Norman Powell,373,765,48.8,43.3,5.4
Kyrie Irving,562,1129,49.8,44.4,5.3
Jalen Williams,536,993,54.0,48.8,5.2
Deandre Ayton,427,748,57.1,52.0,5.1
Grayson Allen,340,681,49.9,44.9,5.1
Tyrese Haliburton,499,1038,48.1,42.9,5.1
Tyus Jones,326,666,48.9,44.0,5.0
Sam Hauser,249,553,45.0,40.0,5.0
Obi Toppin,332,575,57.7,52.7,5.0
Shai Gilgeous-Alexander,796,1486,53.6,48.7,4.9
Devin Booker,642,1304,49.2,44.4,4.8
Isaiah Joe,222,483,46.0,41.1,4.8
Stephen Curry,650,1438,45.2,40.4,4.8
Luke Kennard,141,315,44.8,40.0,4.7
Chris Paul,206,463,44.5,39.8,4.7
Payton Pritchard,296,630,47.0,42.3,4.7
Jakob Poeltl,248,378,65.6,61.0,4.6
Keon Ellis,107,230,46.5,42.2,4.4
Kelly Olynyk,276,496,55.6,51.2,4.4
Joel Embiid,450,847,53.1,48.7,4.4
Nick Richards,260,376,69.1,64.9,4.3
Corey Kispert,385,790,48.7,44.6,4.2
Brandon Ingram,500,1014,49.3,45.2,4.1
Austin Reaves,457,935,48.9,44.8,4.1
Joe Ingles,99,225,44.0,40.0,4.0
Dante Exum,161,300,53.7,49.6,4.0
Andrew Nembhard,260,522,49.8,46.0,3.8
Jalen Brunson,790,1645,48.0,44.4,3.7
Giannis Antetokounmpo,837,1366,61.3,57.6,3.7
Bradley Beal,377,735,51.3,47.6,3.7
Paul George,582,1234,47.2,43.4,3.7
James Wiseman,187,304,61.5,57.9,3.6
Mike Conley,294,644,45.7,42.1,3.6
Myles Turner,476,908,52.4,48.8,3.6
LeBron James,685,1268,54.0,50.6,3.5
CJ McCollum,484,1054,45.9,42.5,3.5
Derrick White,387,839,46.1,42.7,3.4
Duncan Robinson,304,672,45.2,42.0,3.3
Malik Beasley,320,721,44.4,41.1,3.3
Jrue Holiday,331,687,48.2,45.0,3.2
Rui Hachimura,363,675,53.8,50.6,3.2
Michael Porter Jr.,522,1078,48.4,45.4,3.1
Jonas Valanciunas,402,719,55.9,52.8,3.1
Jamal Murray,473,980,48.3,45.2,3.1
D'Angelo Russell,492,1072,45.9,42.8,3.1
Moritz Wagner,332,551,60.3,57.1,3.1
Pascal Siakam,681,1271,53.6,50.5,3.0
Jalen Duren,349,564,61.9,58.9,3.0
Kristaps Porzingis,388,750,51.7,48.9,2.9
Lauri Markkanen,427,889,48.0,45.2,2.8
Aaron Nesmith,315,635,49.6,46.9,2.8
Amir Coffey,166,349,47.6,44.8,2.7
Klay Thompson,490,1130,43.4,40.7,2.7
Trendon Watford,164,311,52.7,50.0,2.7
Domantas Sabonis,634,1068,59.4,56.6,2.7
Karl-Anthony Towns,479,950,50.4,47.8,2.7
Chet Holmgren,505,951,53.1,50.4,2.7
Cedi Osman,184,384,47.9,45.2,2.7
De'Aaron Fox,720,1548,46.5,43.9,2.6
Bobby Portis,466,918,50.8,48.1,2.6
Devin Vassell,498,1053,47.3,44.6,2.6
Aaron Wiggins,212,377,56.2,53.9,2.4
Luke Kornet,142,203,70.0,67.6,2.4
Larry Nance Jr.,138,238,58.0,55.5,2.4
John Collins,397,746,53.2,50.9,2.3
Walker Kessler,229,350,65.4,63.1,2.3
Jarrett Allen,519,819,63.4,61.1,2.3
Doug McDermott,123,284,43.3,41.1,2.2
Aaron Holiday,186,415,44.8,42.6,2.2
Harrison Barnes,347,732,47.4,45.2,2.2
Collin Sexton,506,1036,48.8,46.7,2.1
Marcus Morris Sr.,116,263,44.1,42.0,2.1
Jonathan Kuminga,456,860,53.0,50.9,2.1
Bojan Bogdanovic,309,681,45.4,43.3,2.1
DeMar DeRozan,650,1352,48.1,46.1,2.0
Jaylen Brown,626,1255,49.9,47.9,2.0
Dario Saric,181,388,46.6,44.7,1.9
Kyle Lowry,163,374,43.6,41.7,1.9
Gary Harris,131,296,44.3,42.5,1.8
Tyler Herro,324,734,44.1,42.3,1.8
Trae Young,431,996,43.3,41.5,1.8
Josh Richardson,154,346,44.5,42.8,1.7
Sam Merrill,158,392,40.3,38.6,1.7
Georges Niang,284,632,44.9,43.3,1.7
Terance Mann,254,492,51.6,49.9,1.7
Cason Wallace,217,442,49.1,47.4,1.7
Anthony Davis,713,1282,55.6,54.0,1.6
Jayson Tatum,672,1426,47.1,45.6,1.5
Trey Murphy III,273,618,44.2,42.7,1.5
Isaiah Jackson,155,233,66.5,65.1,1.5
Simone Fontecchio,252,548,46.0,44.4,1.5
Kevon Looney,139,232,59.9,58.4,1.5
Alperen Sengun,527,980,53.8,52.4,1.4
Taurean Prince,253,568,44.5,43.1,1.4
Kevin Love,158,358,44.1,42.7,1.4
Desmond Bane,360,773,46.6,45.2,1.4
Jaden McDaniels,307,626,49.0,47.7,1.4
Naz Reid,406,848,47.9,46.6,1.3
Jalen Suggs,335,711,47.1,45.8,1.3
Bam Adebayo,530,1017,52.1,50.9,1.2
Fred VanVleet,422,1004,42.0,40.9,1.1
